Ballas	speaks	We... are seasons. All of us...
Ballas	speaks	Growing in the light... fading in the dark...
Ballas	speaks	At once the same... yet... ever changed.
Erra	speaks	Don't be afraid.
Councilor Vay Hek	speaks	Eight squad! Eight squad! YOU MAGGOTS! REPORT!
Kahl	speaks	Brothers dead. Only Kahl one-seven-five.
Councilor Vay Hek	speaks	BROTHER? Brother. The WORMS have swarmed the sector, but we will prevail. Regroup on my beacon.
Kahl	speaks	F-for... For the Queens!
Kahl	speaks	Dargyn crash. Kahl help pilot. Kahl finish mission.
Councilor Vay Hek	speaks	For the Queens. Now... run MAGGOT, RUUUUNNN!
Councilor Vay Hek	speaks	One-seven-five. The worms close in. Hurry brother!
Councilor Vay Hek	speaks	Worms have jammed our exfil systems. All ships are grounded.
Kahl	speaks	Pilot is dead.
Kahl	speaks	What is mission now?
Councilor Vay Hek	speaks	Mission? That Bloated Condrix swats us down like flies. We're grounded.
Kahl	speaks	Kahl stop. Tell Kahl.
Councilor Vay Hek	speaks	Impossible. Even if you could get close to that thing, they'd eat you alive.
Kahl	speaks	Eat alive? What if food... is bomb.
Councilor Vay Hek	speaks	Hmmm. Brother Kahl... yes! Find something with a high enough yield! Hurry!
Kahl	speaks	For the... Queens.
Kahl	speaks	This is for Mattac, and Vahn, and Big Borduul!
Kahl	speaks	You. Are. No. Eidolons!
Kahl	speaks	For the Queens.
Kahl	speaks	Searches! Must not see Kahl.
Kahl	speaks	Kahl sneak good.
Kahl	speaks	For the Queens.
Kahl	speaks	For the... Queens.
Councilor Vay Hek	speaks	There! You are so close! Detonate near enough and your brothers shall live to fight another day!
Kahl	speaks	For the Queens.
Councilor Vay Hek	speaks	That's it. Detonate at the base of that Bloated Condrix. FOR GLORY!
Councilor Vay Hek	speaks	I salute you, One-Seven-Five. For the Queens!
Kahl	speaks	For the... huh... For my brothers.
Erra	speaks	Don't be afraid.
Alad V	speaks	Hold fast to your stations, crews! Our glorious victory is close at hand! Oh, and, uh, any remaining techs aboard, narrow-band me at once!
Veso	speaks	Confirming tech aboard! Veso-R at your service, most gilded director, most...!
Alad V	speaks	Yes, yes thank Profit! My command overrides aren't working. I need to break fire control from the fleet. Can you fix that, Veko?
