TV Announcer	speaks	It's December 31st, 1999. Let's SAY GOODBYE to the OLD YEAR with a track you all know and love from GLOBAL sensation On-Lyne!
Arthur	speaks	Not again!
Arthur	speaks	Bastard.
Amir	speaks	I'm on break, Arthur. Don't mess with my gametime.
Arthur	speaks	Need my Tommy keys, Amir. I'm not letting another lead on Entrati go to waste.
Amir	speaks	(Grunts) That, that was cheating.
Arthur	speaks	My keys better not be in that mess.
Aoi	speaks	Learn to hotwire, geez!
Arthur	speaks	Did you take my damn keys?
Quincy	speaks	Don't distract me, boyscout.
Arthur	speaks	No disrespect, Quincy. Got places to be, is all.
Arthur	speaks	Someone is taking my stuff.
Arthur	speaks	How's she doing?
Lettie	speaks	If she wasn't your blood, she'd be on her own out there.
Arthur	speaks	Got a lead on Entrati. Sewers. Arse deep in Techrot, most likely. I'm going after him, for all our sakes. Lettie, look, if you've taken my keys again...
Quincy	speaks	Hold up, hero boy. You're going after Doctor E all by yourself?
Aoi	speaks	Or maybe you're gonna bail on us, Arthur? Forget it.
Lettie	speaks	We're in this mess because of you.
Amir	speaks	I'm coming too! Guys? Uh... am I sensing some tension here?
Arthur	speaks	No one's bailing. I got us into this, and if it kills me, I'll get us- fine. Aoi, Amir, Quincy on backup. Lettie, you and Eleanor hold the fort here, keep the gennies running.
Major Neci Rusalka	speaks	The Doktor's dashing patient-zero in the flesh?
Major Neci Rusalka	speaks	Shame. But my Scaldra have their orders.
Major Neci Rusalka	speaks	Kill. On. Sight.
Major Neci Rusalka	speaks	Pity. We could've been allies, kiddo. My Scaldra. Put that thing down!
Quincy	speaks	Iced 'em. Too slow, Arthur.
Arthur	speaks	I had it under control.
Major Neci Rusalka	speaks	Have it your way. By this time next year, nothing will remain of you slugs.
Major Neci Rusalka	speaks	Meet the co-star of your grand finale. An H-04 Efervon Tank. Enjoy.
Arthur	speaks	Requesting assistance!
Quincy	speaks	The vents above the treads!
Major Neci Rusalka	speaks	Viktor? Drop them in. NOW.
Quincy	speaks	Found a hole in its shield, Arthur!
Arthur	speaks	Thanks, Quincy.
Eleanor	speaks	Wake up, brother. He comes. A crownless king, clad in gold. A pallid beast... tap-tap-tapping.
Aoi	speaks	Arthur! What the hell was that? Where are you? Come in!
Arthur	speaks	He's here. Deep in the Techrot. I'm going after him.
Arthur	speaks	What in hell...
Arthur	speaks	Entrati! What devils follow you?
Arthur	speaks	Bring the hellfire!
Arthur	speaks	That... was VERY rude.
Major Neci Rusalka	speaks	Viktor. That's no way to treat our little tourist.
Viktor	speaks	He won't talk.
Major Neci Rusalka	speaks	Oh. Not even to me?
Albrecht Entrati	speaks	Hmph. Not my type.
Major Neci Rusalka	speaks	Oh, but we're old friends.
Albrecht Entrati	speaks	Ha! That's it, isn't it? The poison to your plan.
Albrecht Entrati	speaks	Love.
Amir	speaks	Woah. Like Marty McFlea.
Quincy	speaks	You takin' the piss?
